,instruction,output
1666,그렇지? 요즘 공기가 좋아져서 창문 열어두는 것도 좋더라.,창문 열어두는 건 기분 전환에도 좋지. 나도 그랬어.
1667,"스마트폰이 좀 오래됐는데, 최근 모델 중에 뭐 추천하니?",스마트폰 추천이라... 최근 모델들 중에서도 가성비 좋은 거 알아볼게.
1668,"적어도 매일 저녁엔 좀 편히 쉬고 싶은데, 휴식을 위한 좋은 방법 있을까?",휴식이라면 명상을 추천해. 짧은 시간이라도 마음을 비우는 걸 도와줘.
1669,나중에 시간 돼면 같이 등산이라도 가자. 요즘 너무 집에만 있어서...,"등산 좋아, 건강도 챙기고 새로운 공기도 마실 수 있고."
1670,"음, 요즘에는 건강하게 먹으려고 노력 중인데, 좋은 레시피 있어?","건강한 레시피? 최근에 채소를 많이 사용하는 요리를 해봤는데, 공유해줄게."
1671,꽃 구경 갈까? 요즘 꽃이 예쁘게 피었대.,꽃 구경 가자! 요즘 정말 예쁜 꽃들이 많잖아.
1672,"맞아, 정수기 필터도 갈아야겠다는 생각이 들더라. 요즘 물 소비가 많아져서.","앗, 정수기 필터 교체 중요해. 내가 좋은 제품 알아보고 추천해줄게."
1673,퇴근 후에는 보통 뭐하며 시간 보내?,퇴근 후에는 주로 음악 듣거나 책 읽어. 넌?
1674,주말에 시간되면 가볍게 카페라도 가자.,카페 가자. 편하게 수다 떨면서 커피 한잔하는 것도 좋을 것 같아.
1675,몸은 어때? 요즘 건강하게 지내고 있니?,엄마 걱정 마. 요즘 건강식도 챙겨 먹고 운동도 하고 있어.
1676,아침은 먹었어? 요즘 아침 잘 챙겨먹는지 궁금하네.,"넵, 아침도 잘 먹고 있어요. 엄마가 해주던 밥이 더 그리워지긴 하지만요."
1677,오늘은 일이 어땠어? 특별한 일 없었니?,일은 그럭저럭 괜찮아. 크게 힘든 일 없이 잘 지내고 있어.
1678,최근에 좋은 소식이라도 있었어? 기쁜 일이 있으면 나눠줘.,"음, 아직 특별한 소식은 없어. 있으면 바로 엄마한테 말할게."
1679,날씨가 많이 추워졌어. 따뜻하게 입고 다니고 있니?,"네, 추우니까 두꺼운 옷으로 갈아입고 다녀. 엄마도 감기 조심해."
1680,이번 주말에는 뭐 할 계획이니? 좋은 계획이 있으면 나도 참여하고 싶어.,주말에는 집에서 쉴 계획이야. 엄마랑 같이 시간 보낼 수 있으면 좋겠네.
1681,최근에 차는 잘 타고 다니니? 차 문제 없어?,차는 아직도 잘 타고 다니고 있어. 큰 문제 없어.
1682,집안일은 잘 처리하고 있어? 혹시 도움 필요한 건 없니?,"집안일은 조금씩 해나가고 있어. 걱정 안 해도 돼, 엄마."
1683,수면 시간은 충분히 확보하고 있어? 요즘 잠 잘 자?,잠은 요즘 조금 부족한 감이 없지 않아 있어. 조금 더 신경 써볼게.
1684,식사는 규칙적으로 하고 있어? 건강이 가장 중요하니까 걱정돼.,식사는 최대한 규칙적으로 하려고 해. 엄마도 잘 챙겨먹어야 해.
1685,오랜만에 영화나 볼래? 같이 보고 싶은 거 있으면 추천해줘.,영화 좋아! 추천해준다면 주말에 같이 보자.
1686,다음 주에 같이 쇼핑하러 갈래? 필요한 게 있으면 같이 사러 가자.,쇼핑? 필요한 것도 몇 가지 있으니 같이 가자고 하면 좋을 것 같아.
1687,최근에 취미 생활은 어떻게 하고 있어? 좋은 취미가 있으면 나눠줘.,최근에는 책 읽기에 빠져있어. 좋은 책 있으면 엄마도 읽어보면 좋을 거 같아.
1688,습관적으로 물 많이 마시고 있어? 건강에 좋으니까 신경 써야 해.,물은 항상 챙겨 마시고 있어. 엄마도 몸에 좋으니 마니마셔.
1689,건강 검진은 주기적으로 받고 있어? 중요한 거니까 자주 확인해.,건강 검진은 한 해에 한 번씩은 꼭 받으려고 해. 엄마도 검진 잊지 마.
1690,가끔은 혼자만의 시간도 필요하지? 충분히 쉬고 있는거야?,혼자만의 시간도 중요하다고 생각해. 가끔은 혼자 있으며 생각을 정리하지.
1691,요즘 친구들과 자주 만나니? 사회생활도 중요하니까 걱정이야.,친구들도 가끔 만나. 사회생활? 천천히 배워가고 있어.
1692,책 좀 읽고 있어? 시간 날 때 책 추천 좀 해줘.,책 읽는 건 여전히 좋아해. 추천할 만한 책 있으면 보내줄게.
1693,주변에 도움을 줄 사람들이 있어? 혼자서 모든 걸 해결하려 하지 않았으면 해.,주변 친구들이나 동료들이 많이 도와줘. 엄마 걱정 안 해도 돼.
1694,마지막으로 건강했던 게 언제야? 항상 건강한 모습을 보고 싶어.,마지막으로 건강했던 건... 지금이 아닐까 싶어. 엄마 덕분에 잘 챙기고 있어.
1695,날씨가 많이 추워졌어. 너 추위 안 타니?,"응, 괜찮아. 엄마가 보내준 옷 잘 입고 다녀서 따뜻해."
1696,건강은 잘 챙기고 있는 거지?,"응, 비타민도 잘 챙겨 먹고 있고, 마스크도 잘 쓰고 다녀."
1697,요즘 들어서 잠은 잘 자고 있는 거야?,"조금 바쁘긴 한데, 괜찮아. 대체로 잘 자고 있어."
1698,식사는 제때 잘 하고 있니?,"네, 엄마. 식사는 항상 제때 하려고 노력하고 있어."
1699,최근에 본 영화 중에 좋은 거 있니?,"얼마 전에 '기생충' 다시 봤는데, 역시 재미있더라."
1700,휴일에는 주로 뭐하며 시간을 보내?,휴일에는 주로 책 읽거나 산책하러 나가. 마음이 편해져.
1701,운동은 요즘 얼마나 자주 해?,일주일에 세 번은 꼭 하려고 해. 건강이 제일이니까.
1702,친구들이랑은 자주 만나니?,가끔씩 만나. 다들 바쁘지만 시간 내서 보기는 해.
1703,최근에 새로 시작한 취미가 있니?,"최근에 요리에 관심이 생겨서, 집에서 간단한 요리를 해보고 있어."
1704,"궁금한 게 있는데, 요즘 무슨 책 읽고 있니?",지금은 '모모'라는 책을 읽고 있어. 생각할 거리가 많더라고.
1705,집에 필요한 물건이 있으면 말해줘. 챙겨보낼게.,"음, 특별히 필요한 건 없는데, 고마워 엄마."
1706,건강검진은 언제 받았더라?,작년에 했었어. 올해도 가을 쯤에 가볼까 해.
1707,최근에 몸 어디 불편한 곳은 없니?,"아니, 괜찮아. 운동도 꾸준히 하고 있으니까 몸이 좋아."
1708,다음 주말에는 시간 어때? 같이 시장이라도 갈까?,좋아! 함께 가면 재미있을 것 같아. 시간 날 거 같아.
1709,과일은 좋아하니? 뭐 좋아하는지 말해봐.,요즘엔 사과를 많이 좋아해. 아삭아삭하고 달아서 좋더라구.
1710,"아, 언제 근처로 한 번 와. 집 반찬 좀 가져가고.",알겠어. 시간 날 때 꼭 들를게. 엄마 손맛이 그립긴 했어.
1711,바쁜 와중에도 자기 관리는 잘 하고 있겠지?,"응, 바쁘더라도 운동하거나 책 읽는 시간은 꼭 가지려고 해."
1712,요즘에 스트레스는 안 받고 지내니?,"스트레스는 가끔 받지만, 운동이나 산책으로 풀고 있어."
1713,마지막으로 대중목욕탕은 언제 갔더라?,이제 추워져서 좀 뜸했어. 다시 한번 가봐야겠다 싶어.
1714,"근처 공원에서 할머니 할아버지들이 운동하시는 거 같던데, 같이 갈래?",좋아요! 할머니 할아버지들한테 배우는 것도 재미있을 것 같아.
1715,좋은 아침이야. 잘 잤니?,"응, 엄마! 꿈도 안 꾸고 푹 잤어."
1716,오늘하루는 아무런 계획이 있어?,별다른 계획은 없어. 그냥 집에서 쉴까 해.
1717,저녁은 무엇을 먹고 싶어?,"음, 저녁은 엄마가 좋아하는 걸로 먹자."
1718,좀 더 건강에 신경 써야 해. 수분 섭취 잘하고 있니?,"그래, 엄마 말대로 하루에 물 많이 마시려고 노력 중이야."
1719,외출할 때는 마스크 꼭 챙기고 나가라.,"알았어, 엄마. 외출할 때마다 마스크는 필수야."
1720,날씨가 많이 추워졌어. 감기 조심해야 해.,"걱정해줘서 고마워, 엄마. 따뜻하게 입고 다니고 있어."
1721,최근에 좋은 책 읽은 거 있어?,최근에 읽은 책 중에 엄마도 좋아할 만한 거 있어. 주말에 보여줄게.
1722,티비에서 재밌는 프로그램 시작했던데 같이 볼래?,"오, 재밌겠다! 같이 보자, 엄마."
1723,주말에 같이 시장이라도 갈까?,"그래, 좋아. 시장 가면 엄마가 좋아하는 간식도 사야지."
1724,네 방 청소는 잘 하고 있는 거야?,"네, 엄마. 방 청소는 주기적으로 하고 있어."
1725,피곤하지 않아? 요즘 너무 늦게까지 깨어있는 거 아냐?,약간 피곤해. 조금 일찍 자려고 해.
1726,신발장 앞에 네 우산 접어 놓았어. 내일 비 온다더라.,"오, 고마워 엄마. 우산 챙겨둔 거 잊을 뻔했어."
1727,내일 아침에는 뭘로 해 줄까?,아무거나 괜찮아. 엄마가 만들어주면 다 맛있으니까.
1728,핸드폰 충전 잘 하고 자야 해. 급할 때 문제야.,"응, 알았어. 핸드폰 충전 항상 신경 쓰고 있어."
1729,오늘은 조금 이른 시간에 잘 생각이야.,오늘은 일찍 자는 게 좋겠다. 내일도 바쁠 거 같아서.
1730,양치질은 하루에 세 번 하는 거 잊지 말고.,"알았어, 엄마. 양치질 세 번은 기본이지."
1731,식사 후엔 간단한 산책이라도 하는 게 어때?,좋은 생각이야. 식사 후에 간단히 동네 한 바퀴 돌자.
1732,물을 많이 마셔. 하루에 최소한 2리터는 마셔야 해.,"하루에 2리터 물 마시는 거, 엄마 덕분에 습관이 됐어."
1733,점심시간에는 잠깐 햇볕을 쬐는 거 잊지 말고.,점심시간에 잠깐 밖에 나가서 햇볕을 쬐고 있어.
1734,눈이 침침하면 안경을 꼭 챙겨 봐.,"그래, 안경 챙기겠어. 더 무리 안 가게."
1735,"안녕, 최근에 어떻게 지냈니?","안녕 엄마, 나 괜찮아. 너무 바쁘지는 않고 꽤 잘 지내고 있어."
1736,좋아 들으니 다행이다. 수업은 어때?,"수업은 조금 힘들기도 하지만, 재미있어. 엄마는 요즘 어떠셔?"
1737,"그래, 공부도 중요하지만 건강도 신경 써야지. 아침은 먹었어?","응, 오늘 아침도 잘 먹었어. 엄마도 아침 꼭 챙겨 드세요."
1738,"잘했어, 아침 잘 챙겨먹는 건 중요해. 요즘 날씨가 추운데, 따뜻하게 입고 다니고 있니?","네, 요즘 날씨가 많이 추워서 따뜻하게 입고 다녀. 엄마도 그러셔야 해요."
1739,"좋아, 그럼 안심이다. 그런데 요즘 가끔 두통이 있니?","아니, 두통은 없어. 엄마가 건강 잘 챙기시는 게 더 중요해."
1740,그럼 다행이야. 혹시 더 필요한 학용품이나 책 있니?,"음, 지금은 딱히 필요한 게 없어. 뭐 필요하면 말할게."
1741,"알겠어, 필요한 거 있으면 말해. 이번 주말에 새 영화 보러 갈 생각 있어?","영화 보러 가고 싶었는데, 엄마도 생각이 같아서 좋다."
1742,오랜만에 같이 영화 보러 가자. 마지막으로 본 영화가 기억나니?,마지막으로 본 영화가 정말 기억이 안 나. 엄마랑 보러 가면 좋겠다.
1743,정말 오래됐네. 이번에는 나한테 맡겨. 맛있는 저녁도 먹고 올까?,"와, 그렇게 하자. 오랜만에 엄마랑 데이트하면 좋겠다."
1744,"좋아, 저녁 메뉴는 네가 고르면 돼. 밖에 나갈 준비 됐니?","네, 엄마 마음대로 해. 나 준비 다 됐어."
1745,물론이지. 돈은 충분히 챙겼니?,"응, 돈도 충분히 챙겼어. 걱정 마."
1746,"그래, 나도 준비 다 됐어. 집에 돌아올 때 우유 사 올까?","우유, 잊지 않았어. 집에 돌아갈 때 살게."
1747,우유 필요하다고 했었지? 기억해뒀어. 차 키는 챙겼니?,차 키도 챙겼어. 엄마도 필요한 거 없어?
1748,"좋아, 그러면 출발할 준비 됐네. 주말에 할머니 댁에도 들러볼까?","네, 할머니 댁 들르는 것도 좋을 거 같아."
1749,할머니도 우리가 오길 기다리실 거야. 컴퓨터 사용하는 거 괜찮니?,컴퓨터는 잘 사용하고 있어. 문제 생기면 엄마한테 바로 말할게.
1750,"그래도 종종 확인해 줘야 해, 문제 생기면 말해. 저녁은 어떤 거 먹고 싶어?","음, 저녁은 엄마가 먹고 싶은 거로 해요. 나는 다 좋아."
1751,"저녁 메뉴는 네가 정하는 걸로 하자. 음악회 티켓을 얻었는데, 같이 갈래?",음악회? 정말 좋을 거 같아. 엄마랑 가면 좋겠다.
1752,"정말? 좋아, 같이 가자. 너무 늦게 돌아오지 않도록 해야겠다.","네, 늦지 않게 돌아오자. 함께라면 더 좋을 거 같아."
1753,늦지 않게 집에 오는 건 중요해. 잠깐! 문 잠갔는지 확인했니?,문 잠갔어. 엄마도 확인한 거 맞지?
1754,안전 제일이니까. 문 잘 잠그고 오자.,"그래, 안전이 제일이니까. 다 챙겼으니 이제 가자."
1755,잘 잤어?,"응, 엄마. 잘 잤어. 당신은 어때?"
1756,아침은 먹었니? 요즘 건강은 어때?,아직 안 먹었어. 그런데 엄마는 또 항상 건강하시죠?
1757,뭐 특별히 필요한 게 있으면 언제든지 말해줘.,"고마워, 엄마. 딱히 필요한 건 없어."
1758,집은 깨끗하게 잘 관리하고 있는 거지?,"응, 걱정 마. 깨끗하게 잘 하고 있어."
1759,요즘 운동은 해? 몸 건강하게 잘 유지해야 한다고.,가끔씩 해. 엄마 말씀대로 건강 관리 잘 할게.
1760,저녁은 뭘 먹을 생각이야?,아직 모르겠어. 엄마는 뭐 드실 거야?
1761,주말 계획은 세웠어?,아직은 특별한 계획 없어. 엄마는 뭐 하실 거야?
1762,최근에 본 영화 있어? 나랑 같이 볼만한 거.,최근에 재밌는 거 본 건 없어. 엄마 추천해줄 영화 있어?
1763,날씨가 추워지고 있으니 감기 조심해야 해.,"알겠어, 엄마. 따뜻하게 잘 챙겨입고 다닐게."
1764,이번 주에 시간이 어때? 같이 장보러 갈 수 있을까?,"좋아, 엄마랑 장 보러 가는 건 항상 즐거워."
1765,책은 요즘 잘 읽고 있어?,요즘은 좀 바빠서 책을 많이 못 읽었어.
1766,최근에 새로운 취미 생겼어?,"음, 새로운 취미는 아직 없어. 엄마는 어때?"
1767,오늘 기분이 어때? 좋은 일이라도 있었나?,오늘 기분 좋아. 엄마 덕분에!
1768,물은 충분히 마시고 있니? 건강을 위해서 중요해.,"믿을 수 없지만, 엄마 말씀대로 물 많이 마시려고 노력 중이야."
1769,친구들은 잘 지내? 최근에 만나지는 못 했겠지?,가끔 연락해. 모두 바쁘지만 잘 지내고 있어.
1770,다음 주말에는 뭐 할 거야? 가족이나 친구랑 시간 보낼 계획 있어?,다음 주말은 조금 쉬려고 해. 가족이랑 시간 보낼 수도 있겠네.
1771,여행 가고 싶은 곳이 있어?,가보고 싶은 곳 많아. 엄마랑 같이 가고 싶은 곳 있으면 말해봐.
1772,좋아하는 음식은 뭐야? 오랜만에 해줄게.,엄마가 만들어주는 어떤 음식이든 좋아. 기대할게!
1773,학교나 직장 생활은 괜찮아?,그럭저럭 괜찮아. 약간 바쁘긴 하지만 잘 지내고 있어.
1774,마음에 걸리는 게 있다면 언제든 털어놔.,"음, 당장은 없어. 걱정해줘서 고마워, 엄마."
1775,잘 잤니?,"응, 엄마 덕분에 따뜻하게 잤어."
1776,"그래, 건강이 최우선이지. 물은 충분히 마셨어?","네, 물도 많이 마시고, 비타민도 챙겨 먹고 있어."
1777,"오, 좋아! 요즘 운동은 해?","운동 많이 못 했지만, 집에서 간단한 스트레칭은 해."
1778,그랬구나. 저녁은 뭘 먹었니?,저녁엔 샐러드랑 닭가슴살 먹었어.
1779,정말? 나는 최근에 건강식 위주로 먹으려고 해.,그래? 엄마도 조금씩 건강한 식습관 가지려고 노력 중이야.
1780,"그래, 날씨가 점점 추워지고 있어. 너도 감기 조심해야 해.","응, 요즘 날씨 변덕스러워서 따뜻하게 입고 다녀."
1781,"맞아, 그래서 온수 매트도 준비했어. 너한테도 하나 보낼까?","오, 고마워 엄마. 온수 매트 있으면 밤에 따뜻하게 잘 수 있겠다."
1782,네 건강이 염려돼. 몸이 조금이라도 안 좋으면 바로 말해.,"알겠어, 건강 문제 생기면 바로 엄마한테 연락할게."
1783,"이번 주말에 쇼핑하러 갈 계획이 있는데, 같이 갈래?","쇼핑! 좋아, 시간 맞춰서 같이 가자."
1784,"그렇구나, 시간되면 같이 영화라도 보러 가자.","영화 좋지, 시간 나면 같이 보러 가자고 해."
1785,요즘 TV 프로그램 중에 뭐가 재미있어?,최근에는 그 과학 프로그램이 재미있더라.
1786,"아, 그 프로그램 나도 좋아해. 같이 볼 수 있으면 좋겠다.","음, 다음에는 엄마랑 같이 보자. 재미있게 볼 거야."
1787,그나저나 네 방은 따뜻한가? 여기는 좀 춥던데.,방 난방 잘되서 따뜻해. 걱정 마.
1788,그래도 다행이다. 혹시 추가로 담요가 필요하면 말해.,"고마워, 엄마. 필요하면 꼭 말할게."
1789,"한동안 연락이 뜸했네. 바쁜 것 같던데, 일은 잘 돼가?","네, 조금 바빴지만 이제는 좀 괜찮아져."
1790,"그래, 그동안 많이 힘들었겠다. 언제나 너를 응원해.","응원해 줘서 고마워, 엄마. 엄마 덕분에 힘이 난다."
1791,"얼마 전에 새로운 카페가 생겼는데, 시간 될 때 같이 가보자.","새 카페? 들어만 봤는데, 같이 가면 좋겠다."
1792,최근에 좋은 일이 있었으면 좋겠다. 긍정적인 소식 있을 때마다 공유해.,"그래, 좋은 일 생기면 바로 엄마한테 연락할게."
1793,너무 바쁘지 않으면 매일 조금씩 쉬어. 건강이 제일이야.,"알겠어, 꼭 쉬면서 할게."
1794,다음 주에는 시간이 좀 나니? 같이 점심이나 먹자.,"다음 주? 좋아, 일정 확인하고 연락할게."
1795,오랜만이야! 건강히 잘 지냈니?,"응, 물론이지! 너무 바쁘긴 했지만, 건강하게 잘 지내고 있어."
1796,"휴, 얼마나 보고 싶었는지 몰라. 요즘 어떻게 지내?",나도 너무 반가워. 최근에 좀 바빴지만 괜찮아.
1797,아침은 꼭 챙겨 먹고 있니?,"응, 아침은 거르지 않고 있어. 걱정 말아."
1798,요즘 날씨가 많이 쌀쌀해졌어. 감기 조심하고 있어?,"네, 요즘은 항상 옷 따뜻하게 입고 다녀."
1799,집에서 따뜻한 차 종류도 많이 마시고 있니?,"그래, 따뜻한 차 종류로 몸을 따뜻하게 하려고 노력 중이야."
1800,건강검진은 올해 받았어?,아직 못 받았어. 곧 예약해두려고 해.
1801,마스크 쓰고 다니는 거 잊지 않고 있지?,항상 마스크는 필수로 챙기고 다녀. 걱정 마.
1802,야간에는 조심해서 다녀. 어두우니까 더 위험해.,알겠어. 야간에는 더 조심할게.
1803,주말에는 뭐 할 계획이야?,주말에는 집에서 쉬면서 책 좀 읽으려고.
1804,최근에 좋은 책이나 영화 본 게 있니?,최근에 본 영화 중에서 '기생충'이 정말 인상 깊었어.
1805,다음 주에 시간 되면 같이 저녁이라도 먹으러 갈래?,"좋아, 시간 되면 꼭 같이 저녁 먹자."
1806,집안일은 혼자서 다 하고 있어? 도와줄 게 있으면 말해.,"네, 집안일은 괜찮아. 필요한 것 있으면 말할게."
1807,최근에 새로 시작한 취미가 있어?,최근에 요리에 관심을 가지기 시작했어.
1808,나중에 시간 나면 우리 같이 운동하러 가자.,운동하러 가는 거 좋아. 날짜 맞춰서 가자.
1809,음악회 표가 있는데 같이 갈래?,음악회 정말 좋지. 같이 가자.
1810,요즘 스트레스 받는 일 없어?,"스트레스는 있긴 한데, 운동하면서 해소하고 있어."
1811,최근에 기억에 남는 맛집 가본 곳 있어?,얼마 전에 간 태국 음식점이 정말 맛있었어.
1812,좋아하는 음식 있으면 말해줘. 다음에 만들어줄게.,"네가 좋아하는 음식? 음, 치킨이 제일 좋아!"
1813,이번 주말에 괜찮다면 같이 공원 가서 산책하자.,주말에 공원 산책 좋지. 같이 갈까?
1814,네 숙면을 위해 뭐 도와줄 수 있는 거 있을까?,"잠 잘 때, 조용한 음악 틀어놓은 것도 도움이 되더라."
1815,"안녕, 잘 있다고 들었어. 최근 어떻게 지내?","응, 생각보다 괜찮아. 바쁘지만, 뭐든 잘 풀리는 것 같아서 다행이야."
1816,"넌 항상 바쁘다며, 뭔가 새로운 취미라도 생겼어?",사실은 요리에 좀 더 심취하고 있어. 새로운 레시피 실험 중이지.
1817,그렇다면 요즘에는 주로 뭐하며 시간을 보내?,주로 요리하거나 책 읽는 것에 시간을 많이 쓰고 있어. 조용한 시간이 좋더라고.
1818,"오, 좋아 보이네. 잘 먹고 있는 거야?","물론이지, 건강하게 챙겨 먹으려고 노력 중이야. 너도 잘 챙겨 먹고 있지?"
1819,날씨가 많이 추워졌어. 따뜻하게 입고 다니고 있니?,옷 잘 챙겨 입고 다니고 있어. 너무 춥더라고. 너도 감기 조심해.
1820,건강은 어때? 최근에 병원에는 안 가봤지?,건강은 괜찮아. 최근에 병원 갈 일이 없어서 다행이지.
1821,저녁은 먹었어? 뭔가 특별한 거 먹었니?,저녁에는 간단하게 샐러드랑 스프 먹었어. 너는 저녁 뭐 먹었어?
1822,최근에 본 영화 있어? 뭐 추천할 만한 거?,이제 막 '파라다이스'라는 영화 봤어. 정말 강추해.
1823,주말 계획 있어? 어디 가볼 생각이니?,주말에는 집에서 쉬려고. 요즘 너무 바빠서 푹 쉬는 게 최고야.
1824,음악 취미는 여전해? 새로 좋아하는 가수 있어?,아직도 음악 많이 들어. 요즘은 '루머스'라는 밴드에 빠져있어. 너도 들어봐야 돼.
1825,최근에 만난 친구 있어? 누구랑 이야기 많이 했는지 궁금해.,지난주에 옛날 친구 만났어. 오랜만에 추억을 되새겼지.
1826,이번에 새로 나온 책 있어? 좀 읽어봐야겠다 생각하는 거.,새로 나온 '시간의 향기'라는 책에 관심이 많아. 독특한 주제더라고.
1827,아직도 그 카페 자주 가? 분위기 좋다며.,그 카페는 여전히 내 단골이야. 분위기도 좋고 커피도 훌륭해.
1828,저번에 네가 추천해준 식당에 갔었어. 정말 맛있더라고.,"네가 추천한 식당, 나도 정말 만족스러웠어. 다른 곳도 추천해줘."
1829,운동은 계속 하고 있어? 요즘 어떤 운동에 집중하고 있니?,요가랑 필라테스를 번갈아 하고 있어. 몸에 좋고 마음도 편안해져.
1830,너 요즘에도 산책 자주 해? 날 좋은 날 산책하는 게 제일이지.,산책은 아무리 바빠도 꼭 하려고 해. 짧게라도 좋으니까 말이야.
1831,집 근처에 새로 생긴 가게 봤어? 뭔가 흥미로울 것 같던데.,"맞아, 그 가게 봤어. 이번 주말에 한번 가볼 생각이야. 같이 갈래?"
1832,너 요즘에 어떤 생각 많이 해? 가끔은 네 속마음도 듣고 싶어.,"최근에는 뭐랄까, 행복한 순간들을 좀 더 의미 있게 느끼려고 해."
1833,최근에 너한테 감동받은 일 있어? 나는 네가 해준 말이 참 따뜻하더라고.,네가 어려울 때 옆에 있어준 게 정말 큰 힘이 됐어. 진심으로 고마워.
1834,시간 날 때 우리 같이 취미 생활이나 공유해보자. 좋은 아이디어 있으면 알려줘.,"좋아, 그래보자. 네가 관심 있는 취미가 있다면 언제든지 같이 해보고 싶어."
1835,저녁은 먹었어?,"응, 조금 전에 먹었어. 엄마는?"
1836,"맞아, 요즘 좀 추워졌더라. 따뜻한거 많이 먹어야 해.","맞아, 엄마가 항상 감기 걸리지 말라고 해서 따뜻한 차도 많이 마셔."
1837,그런데 업무 스트레스는 어때? 잘 관리하고 있니?,"괜찮아, 엄마. 스트레스는 운동으로 해소하고 있어."
1838,날이 점점 더 추워지니까 피부 관리도 잘 하고 있어?,"응, 요즘 로션도 더 자주 바르고 있어. 건조해서."
1839,동네 산책하러 자주 나가?,가끔은 혼자 걷는게 마음을 진정시켜줘. 자주 나가려고 해.
1840,최근에 좋은 영화 본게 있어?,"응, 얼마 전에 엄마가 추천해준 그 영화 봤어. 좋더라고."
1841,"집에서 혼자 식사하는 일이 많아졌을 텐데, 영양 균형 잘 맞추고 있어?","응, 열심히 배워가면서 요리하는 중이야. 엄마가 보내준 레시피도 많이 도움돼."
1842,"감기 조심해야 해, 요즘 바이러스가 돌아서.","걱정 마, 엄마. 마스크도 잘 쓰고 손씻기도 자주해."
1843,수분 섭취도 충분히 하고 있는지 확인해.,매일 물병 가지고 다니면서 마시고 있어. 엄마도 마시고 있지?
1844,잘 자고 있어? 충분한 수면도 건강에 정말 중요하니까.,요즘 일찍 자려고 해. 좀 더 규칙적인 생활 하려고.
1845,주말 계획 있어? 나가서 좋은 공기 마셔야 해.,아직은 계획 없어. 엄마랑 어디 좋은데 가면 좋겠다.
1846,가끔은 책 읽는 시간도 가져. 마음에 평화를 줘.,최근에 엄마가 주신 책 읽었어. 정말 재밌었어.
1847,음악 듣는 걸 좋아하니? 좋은 음악은 정서에도 도움이 돼.,요즘 잔잔한 클래식 음악 듣는 걸 좋아해졌어. 엄마 추천곡도 있어?
1848,최근에 건강검진 받았어?,아직 안 받았어. 엄마랑 같이 갈까?
1849,항상 밝은 마음을 가지려고 노력해야 해.,"응, 엄마 말씀대로 항상 긍정적으로 생각하려고 해."
1850,비타민은 꾸준히 챙겨 먹고 있니?,비타민 C 매일 챙겨 먹고 있어. 건강한 것 같아.
1851,요가나 명상은 해보는 건 어때? 스트레스 관리에 좋아.,시도해 보고 있어. 엄마표 요가 시작했어.
1852,아침에 일어나자마자 물 한 잔 마시는 건 습관으로 만들어.,아침 루틴이 돼서 이제는 자연스럽게 하고 있어.
1853,직접 요리하는 걸 좋아해? 건강한 식습관이 중요해.,좋아해. 요즘 건강하게 먹으려고 노력 중이야.
1854,혹시 요즘 무엇 때문에 걱정거리가 있어?,별 거 없어. 그냥 평범한 걱정들이야. 엄마는 걱정 없어?
1855,아침에 일어나서 잘 준비했어?,"응, 엄마! 시간 맞춰서 준비 다 했어."
1856,오늘 날씨가 좀 쌀쌀해. 따뜻하게 입고 나갔니?,"걱정 마, 엄마. 따뜻한 옷 입고 나왔어."
1857,밥은 먹었니? 아침은 꼭 챙겨먹어야 해.,아침도 잘 챙겨 먹었어요. 엄마가 항상 강조하시잖아요.
1858,오늘 학교에서 무슨 일 있었어?,학교에서 친구들하고 재미있게 놀았어.
1859,숙제는 많이 나왔니? 도와줄 거 있으면 말해.,숙제는 별로 많지 않아. 혼자서 할 수 있을 것 같아.
1860,저녁에 뭐 먹고 싶니?,"음, 저녁은 엄마가 만드는 치킨이 먹고 싶어!"
1861,내일 시험이 있었지? 공부는 다 했어?,시험공부 거의 다 했어. 조금만 더 하면 될 것 같아.
1862,날씨가 많이 추워졌어. 감기 조심해야 해.,"네, 엄마. 마스크도 챙겨 나가고 있어요."
1863,최근에 친구들과는 잘 지내?,친구들하고는 잘 지내고 있어. 걱정 마.
1864,주말에 우리 가족끼리 영화 보러 갈래?,영화 보러 가는 거 좋아! 가족끼리 시간 보내는 걸 좋아하니까.
1865,스마트폰은 너무 오래 사용하지 않도록 해.,"알았어, 너무 오래 사용하지 않을게."
1866,"잠자리에 들기 전에는 핸드폰 멀리하고, 책 읽는 습관을 가져.",잠자기 전에 책 읽는 거 알아. 요즘 꾸준히 하고 있어.
1867,오늘 학교에서 새로 배운 게 있니?,오늘 수학 시간에 새로운 공식 배웠어. 진짜 흥미로웠어.
1868,학교에서 좋아하는 과목은 무엇이니?,제일 좋아하는 과목은 과학이야. 실험하는 게 재밌어.
1869,책상 위 정리는 잘 되어 있니?,책상은 항상 깨끗하게 정리하고 있어. 사용 후에 바로바로 정리해.
1870,다음 주에 친구 생일이라고 했었지? 준비 다된 거야?,친구 생일 선물은 벌써 준비했어. 잘 골랐다고 생각해!
1871,피아노 연습은 오늘 했니?,"응, 오늘도 피아노 연습했어. 매일 조금씩 하고 있어."
1872,오늘 저녁에 산책 좀 가자. 운동도 할 겸.,산책 가자는 거 좋아. 가족이랑 시간 보내는 거 좋으니까.
1873,만약 학교 숙제에 어려운 거 있으면 언제든지 도와줄게.,"고마워, 엄마. 숙제에서 막히면 엄마한테 도움 요청할게."
